iter	Passed	Remaining
607	1531	987
608	1534	985
609	1536	982
610	1539	979
611	1541	977
612	1544	974
613	1546	972
614	1549	969
615	1551	967
616	1553	964
617	1556	962
618	1558	959
619	1561	956
620	1563	954
621	1566	951
622	1568	949
623	1570	946
624	1573	944
625	1576	941
626	1578	939
627	1581	936
628	1583	934
629	1585	931
630	1588	928
631	1590	926
632	1593	923
633	1595	921
634	1598	918
635	1600	916
636	1602	913
637	1605	910
638	1607	908
639	1610	905
640	1612	903
641	1615	900
642	1617	898
643	1620	895
644	1622	893
645	1625	890
646	1627	887
647	1629	885
648	1632	882
649	1634	880
650	1637	877
651	1639	875
652	1642	872
653	1644	870
654	1647	867
655	1649	865
656	1652	862
657	1654	860
658	1657	857
659	1659	855
660	1662	852
661	1664	849
662	1667	847
663	1669	844
664	1672	842
665	1674	839
666	1677	837
667	1679	834
668	1682	832
669	1684	829
670	1686	827
671	1689	824
672	1691	822
673	1694	819
674	1697	817
675	1699	814
676	1701	811
677	1704	809
678	1706	806
679	1709	804
680	1711	801
681	1713	799
682	1716	796
683	1719	794
684	1721	791
685	1724	789
686	1726	786
687	1729	784
688	1731	781
689	1734	779
690	1736	776
691	1739	774
692	1741	771
693	1744	768
694	1746	766
695	1748	763
696	1751	761
697	1753	758
698	1756	756
699	1759	753
700	1761	751
701	1763	748
702	1766	746
703	1768	743
704	1771	741
705	1773	738
706	1775	735
707	1778	733
708	1780	730
709	1782	728
710	1785	725
711	1788	723
712	1790	720
713	1792	718
714	1795	715
715	1797	713
716	1800	710
717	1803	708
718	1805	705
719	1807	703
720	1810	700
721	1812	698
722	1815	695
723	1817	692
724	1820	690
725	1822	687
726	1825	685
727	1827	682
728	1829	680
729	1832	677
730	1834	675
731	1837	672
732	1839	670
733	1842	667
734	1844	665
735	1847	662
736	1849	660
737	1852	657
738	1854	654
739	1856	652
740	1859	649
741	1861	647
742	1864	644
743	1866	642
744	1869	639
745	1871	637
746	1873	634
747	1876	632
748	1878	629
749	1881	627
750	1883	624
751	1886	622
752	1888	619
753	1891	617
754	1893	614
755	1896	612
756	1898	609
757	1901	607
758	1904	604
759	1906	602
760	1909	599
761	1911	597
762	1913	594
763	1916	591
764	1918	589
765	1921	586
766	1923	584
767	1926	581
768	1928	579
769	1931	576
770	1933	574
771	1936	571
772	1938	569
773	1941	566
774	1944	564
775	1946	561
776	1949	559
777	1951	556
778	1954	554
779	1956	551
780	1959	549
781	1961	546
782	1964	544
783	1966	541
784	1969	539
785	1971	536
786	1974	534
787	1976	531
788	1978	529
789	1982	526
790	1984	524
791	1987	521
792	1989	519
793	1992	516
794	1994	514
795	1997	511
796	1999	509
797	2002	506
798	2004	504
799	2007	501
800	2009	499
801	2011	496
802	2014	494
803	2016	491
804	2019	489
805	2021	486
806	2024	484
807	2026	481
808	2028	479
809	2031	476
810	2033	473
811	2036	471
812	2038	468
813	2041	466
814	2043	463
815	2046	461
816	2048	458
817	2051	456
818	2053	453
819	2056	451
820	2058	448
821	2061	446
822	2063	443
823	2066	441
824	2069	438
825	2071	436
826	2074	433
827	2076	431
828	2078	428
829	2081	426
830	2084	423
831	2086	421
832	2089	418
833	2091	416
834	2093	413
835	2096	411
836	2099	408
837	2101	406
838	2104	403
839	2106	401
840	2108	398
841	2111	396
842	2113	393
843	2116	391
844	2118	388
845	2121	386
846	2123	383
847	2126	381
848	2128	378
849	2131	376
850	2133	373
851	2136	371
852	2138	368
853	2141	366
854	2143	363
855	2145	361
856	2148	358
857	2150	355
858	2153	353
859	2155	350
860	2157	348
861	2160	345
